Id,PatientTaskHandMappingId,SegmentId,Start,End,CreatedAt,UpdatedAt
154,92,3,130,151,2022-12-30 18:48:01.6178642,2022-12-30 18:48:01.6178648
155,92,4,151,231,2022-12-30 18:48:01.6256781,2022-12-30 18:48:01.6256785
156,104,7,91,101,2022-12-30 18:49:41.5314350,2022-12-30 18:49:41.5314354
157,104,8,101,110,2022-12-30 18:49:41.5498344,2022-12-30 18:49:41.5498354
158,104,6,110,141,2022-12-30 18:49:41.5576360,2022-12-30 18:49:41.5576364
159,85,1,49,105,2022-12-30 18:52:29.4177114,2022-12-30 18:52:29.4177119
160,85,2,79,105,2022-12-30 18:52:29.4287654,2022-12-30 18:52:29.4287660
161,85,3,105,136,2022-12-30 18:52:29.4365780,2022-12-30 18:52:29.4365783
162,85,4,136,196,2022-12-30 18:52:29.4436587,2022-12-30 18:52:29.4436590
163,60,1,58,144,2022-12-30 21:42:56.8874202,2022-12-30 21:42:56.8874206
164,60,2,87,144,2022-12-30 21:42:56.8979174,2022-12-30 21:42:56.8979177
165,60,3,144,2082,2022-12-30 21:42:56.9056530,2022-12-30 21:42:56.9056534
166,60,4,2082,2082,2022-12-30 21:42:56.9138973,2022-12-30 21:42:56.9138979
167,47,1,83,106,2022-12-30 21:46:51.8699494,2022-12-30 21:46:51.8699501
168,47,2,91,106,2022-12-30 21:46:51.9330065,2022-12-30 21:46:51.9330068
169,47,3,106,126,2022-12-30 21:46:51.9413970,2022-12-30 21:46:51.9413976
170,47,4,126,187,2022-12-30 21:46:51.9495265,2022-12-30 21:46:51.9495268
171,48,1,87,124,2022-12-30 21:51:34.6441587,2022-12-30 21:51:34.6441591
172,48,2,104,123,2022-12-30 21:51:34.6640885,2022-12-30 21:51:34.6640888
173,48,3,123,197,2022-12-30 21:51:34.6715278,2022-12-30 21:51:34.6715281
174,48,4,197,346,2022-12-30 21:51:34.6791992,2022-12-30 21:51:34.6791995
175,40,7,74,81,2022-12-30 21:56:31.8984189,2022-12-30 21:56:31.8984194
176,40,8,81,95,2022-12-30 21:56:31.9333111,2022-12-30 21:56:31.9333115
177,40,6,95,215,2022-12-30 21:56:31.9412387,2022-12-30 21:56:31.9412393
178,30,1,188,188,2022-12-30 22:02:43.9300923,2022-12-30 22:02:51.7120646
179,30,2,98,188,2022-12-30 22:02:43.9590838,2022-12-30 22:02:51.7299198
180,30,3,188,203,2022-12-30 22:02:43.9678432,2022-12-30 22:02:51.7385661
181,30,4,203,277,2022-12-30 22:02:43.9760625,2022-12-30 22:02:51.7478456
182,36,1,189,223,2022-12-30 22:11:42.0425531,2022-12-30 22:11:42.0425535
183,36,2,206,223,2022-12-30 22:11:42.1106887,2022-12-30 22:11:42.1106894
184,36,3,223,246,2022-12-30 22:11:42.1191700,2022-12-30 22:11:42.1191704
185,36,6,246,429,2022-12-30 22:11:42.1273054,2022-12-30 22:11:42.1273059
186,36,5,429,453,2022-12-30 22:11:42.1411791,2022-12-30 22:11:42.1411795
187,36,4,453,500,2022-12-30 22:11:42.1558370,2022-12-30 22:11:42.1558375
188,2,7,49,61,2022-12-30 22:14:22.5062617,2022-12-30 22:14:22.5062627
189,2,8,61,75,2022-12-30 22:14:22.5243308,2022-12-30 22:14:22.5243313
190,2,6,75,360,2022-12-30 22:14:22.5326474,2022-12-30 22:14:22.5326482
191,3,1,81,105,2022-12-30 22:20:44.0195258,2022-12-30 22:20:44.0195263
192,3,2,86,105,2022-12-30 22:20:44.0775045,2022-12-30 22:20:44.0775048
193,3,3,107,134,2022-12-30 22:20:44.0855781,2022-12-30 22:20:44.0855785
194,3,4,134,167,2022-12-30 22:20:44.0932080,2022-12-30 22:20:44.0932085
195,42,1,74,101,2022-12-30 22:25:40.5114831,2022-12-30 22:25:40.5114836
196,42,2,88,102,2022-12-30 22:25:40.5343863,2022-12-30 22:25:40.5343866
197,42,3,102,115,2022-12-30 22:25:40.5422194,2022-12-30 22:25:40.5422199
198,42,4,115,157,2022-12-30 22:25:40.5496804,2022-12-30 22:25:40.5496808
199,39,1,87,120,2022-12-30 22:29:46.9438347,2022-12-30 22:30:00.2301470
200,39,2,100,120,2022-12-30 22:29:46.9726582,2022-12-30 22:30:00.2485583
201,39,3,120,134,2022-12-30 22:29:46.9810286,2022-12-30 22:30:00.2580507
202,39,4,134,160,2022-12-30 22:29:46.9887376,2022-12-30 22:30:00.2662415
203,105,7,78,84,2022-12-30 22:32:32.4758186,2022-12-30 22:32:32.4758190
204,105,8,84,96,2022-12-30 22:32:32.4943293,2022-12-30 22:32:32.4943297
205,105,6,96,153,2022-12-30 22:32:32.5020893,2022-12-30 22:32:32.5020900
206,117,1,79,111,2022-12-30 22:35:07.8220114,2022-12-30 22:35:07.8220119
207,117,2,94,111,2022-12-30 22:35:07.8403971,2022-12-30 22:35:07.8403973
208,117,3,111,132,2022-12-30 22:35:07.8478855,2022-12-30 22:35:07.8478860
209,117,4,132,159,2022-12-30 22:35:07.8558643,2022-12-30 22:35:07.8558649
210,124,1,83,128,2022-12-30 22:37:30.1023941,2022-12-30 22:39:23.4897867
211,124,2,98,129,2022-12-30 22:37:30.1201051,2022-12-30 22:39:23.5040844
212,124,3,129,145,2022-12-30 22:37:30.1279385,2022-12-30 22:39:23.5127362
213,124,4,145,170,2022-12-30 22:37:30.1357381,2022-12-30 22:39:23.5213254
214,127,1,79,126,2022-12-30 23:14:28.5468441,2022-12-30 23:14:28.5468446
215,127,2,88,126,2022-12-30 23:14:28.5911933,2022-12-30 23:14:28.5911937
216,127,3,126,142,2022-12-30 23:14:28.5991913,2022-12-30 23:14:28.5991915
217,127,4,142,164,2022-12-30 23:14:28.6070074,2022-12-30 23:14:28.6070077
218,165,1,57,183,2022-12-30 23:18:07.4277092,2022-12-30 23:18:07.4277097
219,165,2,67,183,2022-12-30 23:18:07.4482697,2022-12-30 23:18:07.4482708
220,165,3,183,204,2022-12-30 23:18:07.4560299,2022-12-30 23:18:07.4560302
221,165,4,204,227,2022-12-30 23:18:07.4638284,2022-12-30 23:18:07.4638288
222,161,1,58,76,2022-12-30 23:22:31.8411189,2022-12-30 23:22:31.8411194
223,161,2,65,76,2022-12-30 23:22:31.8995910,2022-12-30 23:22:31.8995917
224,161,3,76,91,2022-12-30 23:22:31.9079587,2022-12-30 23:22:31.9079591
225,161,4,91,122,2022-12-30 23:22:31.9154280,2022-12-30 23:22:31.9154287
226,185,1,51,71,2022-12-30 23:24:37.6758665,2022-12-30 23:24:37.6758670
227,185,2,59,71,2022-12-30 23:24:37.6953379,2022-12-30 23:24:37.6953382
228,185,3,71,99,2022-12-30 23:24:37.7032073,2022-12-30 23:24:37.7032076
229,185,4,99,132,2022-12-30 23:24:37.7151230,2022-12-30 23:24:37.7151235
230,266,1,61,99,2022-12-30 23:34:26.8775853,2022-12-30 23:34:26.8775858
231,266,2,72,99,2022-12-30 23:34:26.9400497,2022-12-30 23:34:26.9400500
232,266,3,99,114,2022-12-30 23:34:26.9475249,2022-12-30 23:34:26.9475252
233,266,6,114,239,2022-12-30 23:34:26.9547837,2022-12-30 23:34:26.9547844
234,266,5,239,249,2022-12-30 23:34:26.9619954,2022-12-30 23:34:26.9619957
235,266,4,249,283,2022-12-30 23:34:26.9692666,2022-12-30 23:34:26.9692670
236,240,1,71,99,2022-12-30 23:37:44.0143503,2022-12-30 23:37:44.0143509
237,240,2,81,99,2022-12-30 23:37:44.0331249,2022-12-30 23:37:44.0331252
238,240,3,99,120,2022-12-30 23:37:44.0411203,2022-12-30 23:37:44.0411207
239,240,4,120,157,2022-12-30 23:37:44.0489463,2022-12-30 23:37:44.0489467
240,227,1,65,96,2022-12-30 23:43:39.2071490,2022-12-30 23:43:39.2071496
241,227,2,78,96,2022-12-30 23:43:39.2592361,2022-12-30 23:43:39.2592367
242,227,3,96,110,2022-12-30 23:43:39.2677299,2022-12-30 23:43:39.2677306
243,227,6,110,228,2022-12-30 23:43:39.2759904,2022-12-30 23:43:39.2759908
244,227,5,228,241,2022-12-30 23:43:39.2837040,2022-12-30 23:43:39.2837044
245,227,4,241,282,2022-12-30 23:43:39.2919789,2022-12-30 23:43:39.2919793
246,230,1,63,139,2023-01-09 22:16:11.6901722,2023-01-09 22:16:11.6901728
247,230,2,70,139,2023-01-09 22:16:11.7099099,2023-01-09 22:16:11.7099106
248,230,3,139,164,2023-01-09 22:16:11.7179698,2023-01-09 22:16:11.7179702
249,230,4,164,181,2023-01-09 22:16:11.7262029,2023-01-09 22:16:11.7262037
250,217,7,72,84,2023-01-09 22:18:20.0606887,2023-01-09 22:18:20.0606891
251,217,8,84,91,2023-01-09 22:18:20.0784768,2023-01-09 22:18:20.0784771
252,217,6,91,137,2023-01-09 22:18:20.0864977,2023-01-09 22:18:20.0864981
253,222,1,65,86,2023-01-09 22:21:22.3287009,2023-01-09 22:21:22.3287014
254,222,2,77,86,2023-01-09 22:21:22.3469262,2023-01-09 22:21:22.3469268
255,222,3,85,100,2023-01-09 22:21:22.3548676,2023-01-09 22:21:22.3548680
256,222,4,100,128,2023-01-09 22:21:22.3622237,2023-01-09 22:21:22.3622239
257,267,7,59,85,2023-01-09 22:24:06.0504459,2023-01-09 22:24:06.0504469
258,267,8,85,104,2023-01-09 22:24:06.0686230,2023-01-09 22:24:06.0686233
259,267,6,104,157,2023-01-09 22:24:06.0763513,2023-01-09 22:24:06.0763518
260,269,1,59,111,2023-01-09 22:29:17.0142334,2023-01-09 22:29:17.0142341
261,269,2,84,111,2023-01-09 22:29:17.0485624,2023-01-09 22:29:17.0485638
262,269,3,111,132,2023-01-09 22:29:17.0572104,2023-01-09 22:29:17.0572112
263,269,6,132,235,2023-01-09 22:29:17.0648302,2023-01-09 22:29:17.0648308
264,269,5,235,242,2023-01-09 22:29:17.0725189,2023-01-09 22:29:17.0725198
265,269,4,242,263,2023-01-09 22:29:17.0802156,2023-01-09 22:29:17.0802160
266,290,1,51,125,2023-01-09 22:32:20.0622849,2023-01-09 22:32:20.0622854
267,290,2,70,125,2023-01-09 22:32:20.0806004,2023-01-09 22:32:20.0806010
268,290,3,125,168,2023-01-09 22:32:20.0880779,2023-01-09 22:32:20.0880786
269,290,4,168,192,2023-01-09 22:32:20.0957668,2023-01-09 22:32:20.0957673
270,281,1,61,109,2023-01-09 22:38:35.7111224,2023-01-09 22:38:35.7111228
271,281,2,85,109,2023-01-09 22:38:35.7547419,2023-01-09 22:38:35.7547423
272,281,3,109,168,2023-01-09 22:38:35.7627072,2023-01-09 22:38:35.7627075
273,281,4,168,213,2023-01-09 22:38:35.7700920,2023-01-09 22:38:35.7700926
274,181,1,44,88,2023-01-11 00:09:52.1461862,2023-01-11 00:09:52.1461867
275,181,2,57,88,2023-01-11 00:09:52.2100165,2023-01-11 00:09:52.2100170
276,181,3,88,116,2023-01-11 00:09:52.2181259,2023-01-11 00:09:52.2181263
277,181,6,116,405,2023-01-11 00:09:52.2259314,2023-01-11 00:09:52.2259317
278,181,5,405,416,2023-01-11 00:09:52.2332349,2023-01-11 00:09:52.2332351
279,181,4,416,457,2023-01-11 00:09:52.2466666,2023-01-11 00:09:52.2466670
280,197,1,34,77,2023-01-11 00:12:57.9976172,2023-01-11 00:12:57.9976183
281,197,2,62,77,2023-01-11 00:12:58.0160149,2023-01-11 00:12:58.0160155
282,197,3,77,144,2023-01-11 00:12:58.0240757,2023-01-11 00:12:58.0240765
283,197,4,144,190,2023-01-11 00:12:58.0321411,2023-01-11 00:12:58.0321418
284,167,7,70,81,2023-01-11 00:16:12.2906535,2023-01-11 00:16:12.2906539
285,167,8,81,102,2023-01-11 00:16:12.3085704,2023-01-11 00:16:12.3085709
286,167,6,102,194,2023-01-11 00:16:12.3160634,2023-01-11 00:16:12.3160637
287,178,1,54,173,2023-01-11 00:19:45.2509510,2023-01-11 00:19:45.2509515
288,178,2,84,173,2023-01-11 00:19:45.2693578,2023-01-11 00:19:45.2693581
289,178,3,173,229,2023-01-11 00:19:45.2773615,2023-01-11 00:19:45.2773622
290,178,4,229,244,2023-01-11 00:19:45.2852150,2023-01-11 00:19:45.2852155
291,110,7,94,122,2023-01-11 00:24:55.4424636,2023-01-11 00:24:55.4424643
292,110,8,122,145,2023-01-11 00:24:55.5056102,2023-01-11 00:24:55.5056107
293,110,6,145,226,2023-01-11 00:24:55.5142657,2023-01-11 00:24:55.5142663
294,144,7,60,87,2023-01-11 00:26:59.2706004,2023-01-11 00:26:59.2706012
295,144,8,87,111,2023-01-11 00:26:59.2887859,2023-01-11 00:26:59.2887861
296,144,6,111,212,2023-01-11 00:26:59.2963714,2023-01-11 00:26:59.2963717
297,146,1,59,105,2023-01-11 00:30:02.2955337,2023-01-11 00:30:02.2955341
298,146,2,78,105,2023-01-11 00:30:02.3134107,2023-01-11 00:30:02.3134113
299,146,3,105,139,2023-01-11 00:30:02.3273442,2023-01-11 00:30:02.3273448
300,146,4,139,160,2023-01-11 00:30:02.3349442,2023-01-11 00:30:02.3349446
301,98,1,110,132,2023-01-11 00:40:29.0937293,2023-01-11 00:40:29.0937305
302,98,2,107,132,2023-01-11 00:40:29.1786373,2023-01-11 00:40:29.1786376
303,98,3,132,166,2023-01-11 00:40:29.1870055,2023-01-11 00:40:29.1870064
304,98,4,166,210,2023-01-11 00:40:29.1953359,2023-01-11 00:40:29.1953367
305,100,1,86,128,2023-01-11 00:42:25.4784363,2023-01-11 00:42:25.4784369
306,100,2,110,128,2023-01-11 00:42:25.4965838,2023-01-11 00:42:25.4965843
307,100,3,128,152,2023-01-11 00:42:25.5042937,2023-01-11 00:42:25.5042943
308,100,4,152,182,2023-01-11 00:42:25.5120570,2023-01-11 00:42:25.5120576
309,87,1,56,146,2023-01-11 00:45:36.9432481,2023-01-11 00:45:36.9432485
310,87,2,97,146,2023-01-11 00:45:36.9611327,2023-01-11 00:45:36.9611333
311,87,3,146,190,2023-01-11 00:45:36.9692547,2023-01-11 00:45:36.9692551
312,87,4,190,204,2023-01-11 00:45:36.9768255,2023-01-11 00:45:36.9768258
313,46,1,43,169,2023-01-11 22:34:40.0209980,2023-01-11 22:34:40.0209985
314,46,2,64,169,2023-01-11 22:34:40.0403642,2023-01-11 22:34:40.0403647
315,46,3,169,202,2023-01-11 22:34:40.0544242,2023-01-11 22:34:40.0544247
316,46,4,202,230,2023-01-11 22:34:40.0624734,2023-01-11 22:34:40.0624740
317,56,1,59,140,2023-01-11 22:40:31.2554744,2023-01-11 22:40:31.2554749
318,56,2,86,140,2023-01-11 22:40:31.2746279,2023-01-11 22:40:31.2746284
319,56,3,140,193,2023-01-11 22:40:31.2825043,2023-01-11 22:40:31.2825046
320,56,4,193,206,2023-01-11 22:40:31.2901709,2023-01-11 22:40:31.2901714
321,57,1,69,117,2023-01-11 22:46:52.3791429,2023-01-11 22:46:52.3791433
322,57,2,90,117,2023-01-11 22:46:52.4202757,2023-01-11 22:46:52.4202763
323,57,3,116,137,2023-01-11 22:46:52.4280685,2023-01-11 22:46:52.4280689
324,57,4,137,180,2023-01-11 22:46:52.4358037,2023-01-11 22:46:52.4358042
325,4,1,56,158,2023-01-11 22:50:24.9121240,2023-01-11 22:50:24.9121244
326,4,2,83,158,2023-01-11 22:50:24.9280539,2023-01-11 22:50:24.9280543
327,4,3,158,206,2023-01-11 22:50:24.9356853,2023-01-11 22:50:24.9356858
328,4,4,206,226,2023-01-11 22:50:24.9494365,2023-01-11 22:50:24.9494369
329,13,1,91,153,2023-01-11 22:55:27.8934988,2023-01-11 22:55:27.8934994
330,13,2,112,153,2023-01-11 22:55:27.9116570,2023-01-11 22:55:27.9116576
331,13,3,153,186,2023-01-11 22:55:27.9195993,2023-01-11 22:55:27.9195998
332,13,4,186,220,2023-01-11 22:55:27.9273170,2023-01-11 22:55:27.9273177
333,33,1,34,174,2023-01-11 22:59:44.5778267,2023-01-11 22:59:44.5778273
334,33,2,60,174,2023-01-11 22:59:44.5975282,2023-01-11 22:59:44.5975286
335,33,3,174,225,2023-01-11 22:59:44.6111388,2023-01-11 22:59:44.6111392
336,33,4,225,235,2023-01-11 22:59:44.6188398,2023-01-11 22:59:44.6188401
337,27,1,71,110,2023-01-11 23:04:05.2019540,2023-01-11 23:04:14.2704488
338,27,2,83,110,2023-01-11 23:04:05.2212075,2023-01-11 23:04:14.2876070
339,27,3,110,155,2023-01-11 23:04:05.2297978,2023-01-11 23:04:14.2962111
340,27,4,155,203,2023-01-11 23:04:05.2441592,2023-01-11 23:04:14.3043237
341,313,1,60,109,2023-01-13 09:19:31.3681190,2023-01-13 09:21:32.5726409
